,party,votes.absoluteMajority,votes.constituenctyCounter,votes.mandates,votes.percentage,votes.presidents,votes.validVotesPercentage,votes.votes,county,district,availableMandates,blankVotes,blankVotesPercentage,displayMessage,hasNoVoting,nullVotes,nullVotesPercentage,numberParishes,numberVoters,percentageVoters,candidatos,year
20,NC,0,1,0,1.05,0,1.1,358,Aveiro,Aveiro,0,1235,3.61,,False,594,1.73,10,34237,48.53,JOAQUIM PAULO PINTO ALVES,2021
21,PCP-PEV,0,1,0,3.34,0,3.53,1144,Aveiro,Aveiro,0,1235,3.61,,False,594,1.73,10,34237,48.53,MIGUEL LOPES BATISTA VIEGAS,2021
22,PCTP/MRPP,0,1,0,0.27,0,0.28,92,Aveiro,Aveiro,0,1235,3.61,,False,594,1.73,10,34237,48.53,JOÃO MANUEL VALENTE PINTO,2021
23,PPD/PSD.CDS-PP.PPM,1,1,6,51.26,1,54.15,17549,Aveiro,Aveiro,0,1235,3.61,,False,594,1.73,10,34237,48.53,JOSÉ AGOSTINHO RIBAU ESTEVES,2021
24,PS-PAN,0,1,3,26.0,0,27.47,8901,Aveiro,Aveiro,0,1235,3.61,,False,594,1.73,10,34237,48.53,MANUEL OLIVEIRA DE SOUSA,2021
25,CDS-PP,0,1,0,0.39,0,0.4,43,Castelo de Paiva,Aveiro,0,99,0.91,,False,192,1.76,6,10926,77.81,MIGUEL PINHEIRO CASTENHEIRA,2021
26,MPM,0,1,1,14.13,0,14.52,1544,Castelo de Paiva,Aveiro,0,99,0.91,,False,192,1.76,6,10926,77.81,VITOR MANUEL QUINTAS PINHO,2021
27,PCP-PEV,0,1,0,0.84,0,0.87,92,Castelo de Paiva,Aveiro,0,99,0.91,,False,192,1.76,6,10926,77.81,MANUEL MOREIRA RODRIGUES,2021
28,PPD/PSD,0,1,3,40.04,1,41.14,4375,Castelo de Paiva,Aveiro,0,99,0.91,,False,192,1.76,6,10926,77.81,JOSÉ DUARTE DE SOUSA E ROCHA,2021
29,PS,0,1,2,31.27,0,32.13,3417,Castelo de Paiva,Aveiro,0,99,0.91,,False,192,1.76,6,10926,77.81,JOSÉ MANUEL MOREIRA DE CARVALHO,2021
30,UCPT,0,1,1,10.65,0,10.94,1164,Castelo de Paiva,Aveiro,0,99,0.91,,False,192,1.76,6,10926,77.81,RICARDO JORGE MARTINS ALVES,2021
31,B.E.,0,1,0,3.69,0,3.89,607,Espinho,Aveiro,0,545,3.31,,False,311,1.89,4,16451,55.33,ANTÓNIO MANUEL DE SOUSA ANDRADE,2021
32,CDS-PP,0,1,0,2.15,0,2.27,354,Espinho,Aveiro,0,545,3.31,,False,311,1.89,4,16451,55.33,MANUEL ANTÓNIO LOPES FERREIRA FONTES,2021
33,CH,0,1,0,2.47,0,2.61,407,Espinho,Aveiro,0,545,3.31,,False,311,1.89,4,16451,55.33,RENATO MIGUEL PRATA DOS SANTOS,2021
34,NC,0,1,0,1.61,0,1.7,265,Espinho,Aveiro,0,545,3.31,,False,311,1.89,4,16451,55.33,HENRIQUE JOSÉ PEDRO CIERCO,2021
35,PAN,0,1,0,2.24,0,2.36,368,Espinho,Aveiro,0,545,3.31,,False,311,1.89,4,16451,55.33,ERNESTO CARLOS IGLÉSIAS MORAIS,2021
36,PCP-PEV,0,1,0,4.84,0,5.1,796,Espinho,Aveiro,0,545,3.31,,False,311,1.89,4,16451,55.33,JUSTINO DE JESUS PEREIRA,2021
37,PPD/PSD,0,1,3,37.57,0,39.63,6180,Espinho,Aveiro,0,545,3.31,,False,311,1.89,4,16451,55.33,ANTÓNIO VICENTE DE AMORIM ALVES PINTO,2021
38,PS,1,1,4,40.23,1,42.44,6618,Espinho,Aveiro,0,545,3.31,,False,311,1.89,4,16451,55.33,ADELINO MIGUEL LINO MOREIRA REIS,2021
39,CH,0,1,0,3.73,0,3.93,429,Estarreja,Aveiro,0,317,2.76,,False,263,2.29,5,11497,48.01,JOSÉ DAVID DOS SANTOS MARCELINO,2021
40,PCP-PEV,0,1,0,5.46,0,5.75,628,Estarreja,Aveiro,0,317,2.76,,False,263,2.29,5,11497,48.01,ANTÓNIO MANUEL DE FIGUEIREDO VIDAL,2021
41,PPD/PSD.CDS-PP,1,1,4,52.31,1,55.09,6014,Estarreja,Aveiro,0,317,2.76,,False,263,2.29,5,11497,48.01,DIAMANTINO MANUEL SABINA,2021
42,PS,0,1,3,33.45,0,35.23,3846,Estarreja,Aveiro,0,317,2.76,,False,263,2.29,5,11497,48.01,MARISA DA CONCEIÇÃO CORREIA MACEDO,2021
43,B.E.,0,1,0,3.1,0,3.24,296,Mealhada,Aveiro,0,296,3.1,,False,134,1.4,6,9559,53.3,GONÇALO FERNANDO GONÇALVES DE MELO LOPES,2021
44,CH,0,1,0,1.58,0,1.65,151,Mealhada,Aveiro,0,296,3.1,,False,134,1.4,6,9559,53.3,NÉLIDA CHRISTINE GOMES MARQUES,2021
45,MMMI,0,1,3,37.82,1,39.6,3615,Mealhada,Aveiro,0,296,3.1,,False,134,1.4,6,9559,53.3,ANTÓNIO JORGE FERNANDES FRANCO,2021
46,PCP-PEV,0,1,0,4.27,0,4.47,408,Mealhada,Aveiro,0,296,3.1,,False,134,1.4,6,9559,53.3,JOÃO JOSÉ PEREIRA MARQUES,2021
47,PPD/PSD.CDS-PP.IL.MPT.PPM,0,1,1,19.2,0,20.1,1835,Mealhada,Aveiro,0,296,3.1,,False,134,1.4,6,9559,53.3,HUGO ANDRÉ AFONSO ALVES E SILVA,2021
48,PS,0,1,3,29.54,0,30.93,2824,Mealhada,Aveiro,0,296,3.1,,False,134,1.4,6,9559,53.3,RUI MANUEL LEAL MARQUEIRO,2021
49,CDS-PP,0,1,0,4.84,0,5.03,227,Murtosa,Aveiro,0,88,1.88,,False,88,1.88,4,4689,47.29,PEDRO TOMÁS PEREIRA MARQUES,2021
50,CH,0,1,0,2.0,0,2.08,94,Murtosa,Aveiro,0,88,1.88,,False,88,1.88,4,4689,47.29,HUGO DANIEL MARTINS DE SOUSA,2021
51,PCP-PEV,0,1,0,2.32,0,2.42,109,Murtosa,Aveiro,0,88,1.88,,False,88,1.88,4,4689,47.29,QUINTINO PINTO DE MATOS,2021
52,PPD/PSD,1,1,4,71.1,1,73.88,3334,Murtosa,Aveiro,0,88,1.88,,False,88,1.88,4,4689,47.29,JOAQUIM MANUEL DOS SANTOS BAPTISTA,2021
53,PS,0,1,1,15.97,0,16.6,749,Murtosa,Aveiro,0,88,1.88,,False,88,1.88,4,4689,47.29,ANTÓNIO JORGE FEIO BACELAR VILAR,2021
54,B.E.,0,1,0,2.66,0,2.79,861,Oliveira de Azeméis,Aveiro,0,871,2.7,,False,534,1.65,12,32314,53.53,DIOGO ANDRÉ DA SILVA BARBOSA,2021
55,CH,0,1,0,3.14,0,3.28,1014,Oliveira de Azeméis,Aveiro,0,871,2.7,,False,534,1.65,12,32314,53.53,VITOR MANUEL PAIVA DA SILVA,2021
56,PCP-PEV,0,1,0,1.51,0,1.58,489,Oliveira de Azeméis,Aveiro,0,871,2.7,,False,534,1.65,12,32314,53.53,VITOR MANUEL TEIGA JANUÁRIO,2021
57,PPD/PSD.CDS-PP,0,1,3,33.47,0,34.99,10815,Oliveira de Azeméis,Aveiro,0,871,2.7,,False,534,1.65,12,32314,53.53,CARLA MARIA DE PINHO RODRIGUES,2021
58,PS,1,1,6,54.87,1,57.36,17730,Oliveira de Azeméis,Aveiro,0,871,2.7,,False,534,1.65,12,32314,53.53,JOAQUIM JORGE FERREIRA,2021
59,CDS-PP,1,1,4,45.58,1,47.78,4984,Oliveira do Bairro,Aveiro,0,306,2.8,,False,198,1.81,4,10935,52.41,DUARTE DOS SANTOS ALMEIDA NOVO,2021
60,CH,0,1,0,4.87,0,5.1,532,Oliveira do Bairro,Aveiro,0,306,2.8,,False,198,1.81,4,10935,52.41,PAULO ALEXANDRE DE OLIVEIRA SILVA,2021
61,PCP-PEV,0,1,0,1.08,0,1.13,118,Oliveira do Bairro,Aveiro,0,306,2.8,,False,198,1.81,4,10935,52.41,JOÃO SILVA E SOUSA,2021
62,PPD/PSD,0,1,3,35.5,0,37.22,3882,Oliveira do Bairro,Aveiro,0,306,2.8,,False,198,1.81,4,10935,52.41,JOSÉ CARLOS PEREIRA DE ALMEIDA SOARES,2021
63,PS,0,1,0,8.37,0,8.77,915,Oliveira do Bairro,Aveiro,0,306,2.8,,False,198,1.81,4,10935,52.41,CARLOS ALBERTO DE BARROS FERREIRA,2021
64,B.E.,0,1,0,3.1,0,3.25,833,Ovar,Aveiro,0,737,2.74,,False,539,2.0,5,26888,53.03,ISMAEL RIBEIRO LISBOA VARANDA,2021
65,CDS-PP,0,1,0,5.49,0,5.77,1477,Ovar,Aveiro,0,737,2.74,,False,539,2.0,5,26888,53.03,MÁRIO RUI PINHO NATÁRIA,2021
66,CH,0,1,0,1.73,0,1.82,465,Ovar,Aveiro,0,737,2.74,,False,539,2.0,5,26888,53.03,JOSÉ HENRIQUE RODRIGUES DA SILVA,2021
67,NC/PPM,0,1,0,7.62,0,8.0,2049,Ovar,Aveiro,0,737,2.74,,False,539,2.0,5,26888,53.03,HENRIQUE MANUEL DIAS ARAÚJO,2021
68,PCP-PEV,0,1,0,2.77,0,2.91,745,Ovar,Aveiro,0,737,2.74,,False,539,2.0,5,26888,53.03,CARLOS MANUEL FERREIRA RAMOS,2021
69,PPD/PSD,1,1,7,57.01,1,59.85,15329,Ovar,Aveiro,0,737,2.74,,False,539,2.0,5,26888,53.03,SALVADOR MALHEIRO FERREIRA DA SILVA,2021
70,PS,0,1,2,17.53,0,18.41,4714,Ovar,Aveiro,0,737,2.74,,False,539,2.0,5,26888,53.03,ALCIDES CARDOSO ALVES,2021
71,B.E.,0,1,0,3.72,0,3.9,2596,Santa Maria da Feira,Aveiro,0,2113,3.02,,False,1167,1.67,21,69875,55.61,BÁRBARA MANUELA OLIVEIRA DA COSTA PINTO,2021
72,CDS-PP,0,1,0,3.26,0,3.42,2275,Santa Maria da Feira,Aveiro,0,2113,3.02,,False,1167,1.67,21,69875,55.61,ALECSANDER DO AMARAL PEREIRA,2021
73,CH,0,1,0,2.83,0,2.97,1979,Santa Maria da Feira,Aveiro,0,2113,3.02,,False,1167,1.67,21,69875,55.61,MIGUEL DUARTE VITA MARTINS DA CRUZ,2021
74,IL,0,1,0,2.7,0,2.83,1886,Santa Maria da Feira,Aveiro,0,2113,3.02,,False,1167,1.67,21,69875,55.61,CARLA CRISTINA NEVES DE LIMA ABREU,2021
75,PAN,0,1,0,1.47,0,1.55,1029,Santa Maria da Feira,Aveiro,0,2113,3.02,,False,1167,1.67,21,69875,55.61,ANDREA CARLA GONÇALVES DOMINGOS,2021
76,PCP-PEV,0,1,0,2.33,0,2.44,1627,Santa Maria da Feira,Aveiro,0,2113,3.02,,False,1167,1.67,21,69875,55.61,ISABEL CRISTINA PEREIRA DE SOUSA GOMES,2021
77,PPD/PSD,1,1,7,48.91,1,51.32,34177,Santa Maria da Feira,Aveiro,0,2113,3.02,,False,1167,1.67,21,69875,55.61,EMIDIO FERREIRA DOS SANTOS SOUSA,2021
78,PS,0,1,4,30.09,0,31.57,21026,Santa Maria da Feira,Aveiro,0,2113,3.02,,False,1167,1.67,21,69875,55.61,MÁRCIO SANTOS CORREIA,2021
79,CDS-PP,0,1,2,22.41,0,23.26,1654,Sever do Vouga,Aveiro,0,136,1.84,,False,135,1.83,7,7382,69.73,RICARDO MANUEL TAVARES DA SILVA,2021
80,PCP-PEV,0,1,0,1.56,0,1.62,115,Sever do Vouga,Aveiro,0,136,1.84,,False,135,1.83,7,7382,69.73,BRUNO FILIPE PEREIRA MARQUES,2021
81,PPD/PSD,0,1,3,43.51,1,45.17,3212,Sever do Vouga,Aveiro,0,136,1.84,,False,135,1.83,7,7382,69.73,PEDRO AMADEU FERNANDES LOPES LOBO,2021
82,PS,0,1,2,28.85,0,29.95,2130,Sever do Vouga,Aveiro,0,136,1.84,,False,135,1.83,7,7382,69.73,ANTÓNIO JOSÉ MARTINS COUTINHO,2021
83,B.E.,0,1,0,3.85,0,4.01,374,São João da Madeira,Aveiro,0,268,2.76,,False,118,1.22,1,9708,49.03,SARA RAQUEL FERREIRA DA COSTA,2021
84,CH,0,1,0,2.82,0,2.94,274,São João da Madeira,Aveiro,0,268,2.76,,False,118,1.22,1,9708,49.03,PEDRO MIGUEL FERREIRA LISBOA,2021
85,NC,0,1,0,1.05,0,1.09,102,São João da Madeira,Aveiro,0,268,2.76,,False,118,1.22,1,9708,49.03,MANUEL ALBERTO DOS SANTOS LONDREIRA,2021
86,PCP-PEV,0,1,0,4.57,0,4.76,444,São João da Madeira,Aveiro,0,268,2.76,,False,118,1.22,1,9708,49.03,JORGE MANUEL DE RESENDE CORTEZ,2021
87,PPD/PSD.CDS-PP.IL,0,1,3,32.13,0,33.46,3119,São João da Madeira,Aveiro,0,268,2.76,,False,118,1.22,1,9708,49.03,JOÃO RODRIGO PINHO DE ALMEIDA,2021
88,PS,1,1,4,51.6,1,53.73,5009,São João da Madeira,Aveiro,0,268,2.76,,False,118,1.22,1,9708,49.03,JORGE MANUEL RODRIGUES VULTOS SEQUEIRA,2021
89,CDS-PP,0,1,1,19.44,0,20.35,2270,Vagos,Aveiro,0,302,2.59,,False,218,1.87,8,11675,53.17,MARIA DO CÉU PEREIRA SARABANDO MARQUES,2021
90,CH,0,1,0,5.41,0,5.67,632,Vagos,Aveiro,0,302,2.59,,False,218,1.87,8,11675,53.17,VICTOR OLIVEIRA DA CONCEIÇÃO,2021
91,PCP-PEV,0,1,0,1.24,0,1.3,145,Vagos,Aveiro,0,302,2.59,,False,218,1.87,8,11675,53.17,ALEXANDRE CLARO LOFF,2021
92,PPD/PSD,1,1,6,60.7,1,63.53,7087,Vagos,Aveiro,0,302,2.59,,False,218,1.87,8,11675,53.17,SILVÉRIO RODRIGUES REGALADO,2021
93,PS,0,1,0,8.75,0,9.15,1021,Vagos,Aveiro,0,302,2.59,,False,218,1.87,8,11675,53.17,PAULO ALEXANDRE GIL CARDOSO,2021
94,B.E.,0,1,0,1.45,0,1.51,187,Vale de Cambra,Aveiro,0,262,2.03,,False,272,2.1,7,12922,63.9,PAULO RENATO FERREIRA PINTO DE OLIVEIRA,2021
95,CDS-PP,1,1,5,58.19,1,60.7,7519,Vale de Cambra,Aveiro,0,262,2.03,,False,272,2.1,7,12922,63.9,JOSÉ ALBERTO FREITAS SOARES PINHEIRO E SILVA,2021
96,CH,0,1,0,1.28,0,1.33,165,Vale de Cambra,Aveiro,0,262,2.03,,False,272,2.1,7,12922,63.9,JORGE MIGUEL FELICIANO DA COSTA,2021
97,PCP-PEV,0,1,0,1.24,0,1.29,160,Vale de Cambra,Aveiro,0,262,2.03,,False,272,2.1,7,12922,63.9,GERMANO DOMINGOS PEREIRA SOUSA DIAS,2021
98,PPD/PSD,0,1,1,14.05,0,14.65,1815,Vale de Cambra,Aveiro,0,262,2.03,,False,272,2.1,7,12922,63.9,FREDERICO DA COSTA MARTINS,2021
99,PS,0,1,1,19.67,0,20.52,2542,Vale de Cambra,Aveiro,0,262,2.03,,False,272,2.1,7,12922,63.9,TIAGO CORREIA FERNANDES,2021
100,B.E.,0,1,0,1.99,0,2.09,401,Águeda,Aveiro,1,673,3.33,,False,366,1.81,11,20187,52.78,CLÁUDIA MARIA LIMA AFONSO,2021
101,CDS-PP,0,1,0,11.14,0,11.75,2249,Águeda,Aveiro,1,673,3.33,,False,366,1.81,11,20187,52.78,ANTERO RICARDO DOS SANTOS ALMEIDA,2021
102,CH,0,1,0,3.87,0,4.08,781,Águeda,Aveiro,1,673,3.33,,False,366,1.81,11,20187,52.78,RUI SANTOS MELO,2021
103,PCP-PEV,0,1,0,1.46,0,1.54,295,Águeda,Aveiro,1,673,3.33,,False,366,1.81,11,20187,52.78,MILTON JOSÉ MATOS DA CONCEIÇÃO,2021
104,PPD/PSD.MPT,1,1,4,46.07,1,48.57,9301,Águeda,Aveiro,1,673,3.33,,False,366,1.81,11,20187,52.78,JORGE HENRIQUE FERNANDES DE ALMEIDA,2021
105,PS,0,1,2,30.32,0,31.97,6121,Águeda,Aveiro,1,673,3.33,,False,366,1.81,11,20187,52.78,FRANCISCO MANUEL GUEDES VITORINO,2021
106,B.E.,0,1,0,2.32,0,2.42,379,Ílhavo,Aveiro,0,484,2.96,,False,208,1.27,4,16349,45.45,FRANCISCO ANDRÉ PEREIRA FORJAZ DE LACERDA EVANGELISTA,2021
107,CDS-PP,0,1,0,1.57,0,1.64,257,Ílhavo,Aveiro,0,484,2.96,,False,208,1.27,4,16349,45.45,SANDRA CRISTINA CALISTO ROQUE,2021
108,CH,0,1,0,4.42,0,4.61,722,Ílhavo,Aveiro,0,484,2.96,,False,208,1.27,4,16349,45.45,LUIS ANDRÉ VIEIRA JOSÉ,2021
109,PCP-PEV,0,1,0,1.57,0,1.64,257,Ílhavo,Aveiro,0,484,2.96,,False,208,1.27,4,16349,45.45,VIRGÍLIO RAFAEL FELICIANO MONTEIRO DIAS,2021
110,PPD/PSD,0,1,3,31.63,0,33.03,5171,Ílhavo,Aveiro,0,484,2.96,,False,208,1.27,4,16349,45.45,FERNANDO FIDALGO CAÇOILO,2021
111,PS,0,1,1,20.8,0,21.72,3400,Ílhavo,Aveiro,0,484,2.96,,False,208,1.27,4,16349,45.45,EDUARDO CONDE PINTO,2021
112,UPF,0,1,3,33.46,1,34.94,5471,Ílhavo,Aveiro,0,484,2.96,,False,208,1.27,4,16349,45.45,JOÃO ANTÓNIO FILIPE CAMPOLARGO,2021
113,B.E.,0,1,0,2.67,0,2.77,494,Angra do Heroísmo,Açores,0,463,2.5,,False,198,1.07,19,18497,55.65,HUGO ALEXANDRE DA SILVA BETTENCOURT,2021
114,CH,0,1,0,1.81,0,1.88,335,Angra do Heroísmo,Açores,0,463,2.5,,False,198,1.07,19,18497,55.65,HÉLIA MARIA PINHEIRO CARDOSO,2021
115,PCP-PEV,0,1,0,1.14,0,1.18,210,Angra do Heroísmo,Açores,0,463,2.5,,False,198,1.07,19,18497,55.65,ANTÓNIO PEDRO INOCÊNCIO,2021
116,PPD/PSD.CDS-PP.PPM,0,1,3,37.95,0,39.35,7019,Angra do Heroísmo,Açores,0,463,2.5,,False,198,1.07,19,18497,55.65,SANDRA MARIA DE SOUSA GARCIA,2021
117,PS,1,1,4,52.86,1,54.82,9778,Angra do Heroísmo,Açores,0,463,2.5,,False,198,1.07,19,18497,55.65,JOSÉ GABRIEL DO ÁLAMO MENESES,2021
118,PS,0,1,2,43.53,0,45.03,1020,Calheta,Açores,0,64,2.73,,False,14,0.6,5,2343,63.12,DÁRIO JORGE ÁVILA AMBRÓSIO,2021
119,«CCALHETA»,1,1,3,53.14,1,54.97,1245,Calheta,Açores,0,64,2.73,,False,14,0.6,5,2343,63.12,DÉCIO NATÁLIO ALMADA PEREIRA,2021
120,CDS-PP.PPD/PSD.PPM,0,1,2,34.89,0,35.66,97,Corvo,Açores,0,5,1.8,,False,1,0.36,1,278,79.43,JOÃO MANUEL DIAS ALFERES DAS PEDRAS,2021
121,PCP-PEV,0,1,0,3.24,0,3.31,9,Corvo,Açores,0,5,1.8,,False,1,0.36,1,278,79.43,DURVAL JOAQUIM BATISTA MENDONÇA,2021
122,PS,1,1,3,59.71,1,61.03,166,Corvo,Açores,0,5,1.8,,False,1,0.36,1,278,79.43,JOSÉ MANUEL ALVES DA SILVA,2021
123,B.E.,0,1,0,1.99,0,2.04,168,Horta,Açores,0,141,1.67,,False,60,0.71,13,8438,64.69,AURORA MARIA AGOSTINHO RIBEIRO,2021
124,PCP-PEV,0,1,0,4.97,0,5.09,419,Horta,Açores,0,141,1.67,,False,60,0.71,13,8438,64.69,PAULA ROCHA PEIXOTO DECQ MOTA,2021
125,PPD/PSD.CDS-PP.PPM,1,1,4,47.8,1,48.96,4033,Horta,Açores,0,141,1.67,,False,60,0.71,13,8438,64.69,CARLOS MANUEL DA SILVEIRA FERREIRA,2021
126,PS,0,1,3,41.4,0,42.41,3493,Horta,Açores,0,141,1.67,,False,60,0.71,13,8438,64.69,JOSÉ LEONARDO GOULART DA SILVA,2021
127,SF,0,1,0,1.47,0,1.51,124,Horta,Açores,0,141,1.67,,False,60,0.71,13,8438,64.69,JOSÉ MANUEL SOUTO GONÇALVES,2021
128,B.E.,0,1,0,2.26,0,2.33,145,Lagoa,Açores,0,94,1.47,,False,103,1.61,5,6412,49.67,MÁRIO RUI FARIAS PACHECO,2021
129,CH,0,1,0,2.23,0,2.3,143,Lagoa,Açores,0,94,1.47,,False,103,1.61,5,6412,49.67,JOSÉ EDUARDO DA CUNHA PACHECO,2021
130,PCP-PEV,0,1,0,0.59,0,0.61,38,Lagoa,Açores,0,94,1.47,,False,103,1.61,5,6412,49.67,RICARDO JOSÉ LIMATAVARES,2021
131,PPD/PSD.CDS-PP.PPM,0,1,2,29.21,0,30.14,1873,Lagoa,Açores,0,94,1.47,,False,103,1.61,5,6412,49.67,ANTÓNIO VASCO VIEIRA NETO DE VIVEIROS,2021
132,PS,1,1,5,62.63,1,64.62,4016,Lagoa,Açores,0,94,1.47,,False,103,1.61,5,6412,49.67,CRISTINA DE FÁTIMA SILVA CALISTO,2021
133,PPD/PSD.CDS-PP.PPM,0,1,2,47.08,0,49.05,467,Lajes das Flores,Açores,0,28,2.82,,False,12,1.21,7,992,77.26,BRUNO FILIPE DE FREITAS BELO,2021
134,PS,1,1,3,48.89,1,50.95,485,Lajes das Flores,Açores,0,28,2.82,,False,12,1.21,7,992,77.26,LUÍS CARLOS MARTINS MACIEL,2021
135,PCP-PEV,0,1,0,3.02,0,3.12,95,Lajes do Pico,Açores,0,59,1.88,,False,40,1.27,6,3142,70.31,LÍDIO MANUEL BETTENCOURT DA ROSA,2021
136,PPD/PSD.CDS-PP.PPM,0,1,2,37.65,0,38.88,1183,Lajes do Pico,Açores,0,59,1.88,,False,40,1.27,6,3142,70.31,TÂNIA KONVALINA SIMAS,2021
137,PS,1,1,3,56.17,1,58.0,1765,Lajes do Pico,Açores,0,59,1.88,,False,40,1.27,6,3142,70.31,ANA CATARINA TERRA BRUM,2021
138,B.E.,0,1,0,1.88,0,1.94,73,Madalena,Açores,0,107,2.76,,False,19,0.49,6,3881,65.1,GIUSEPPE GRASSI,2021
139,PPD/PSD,1,1,3,58.08,1,60.03,2254,Madalena,Açores,0,107,2.76,,False,19,0.49,6,3881,65.1,JOSÉ ANTÓNIO MARCOS SOARES,2021
140,PS,0,1,2,36.79,0,38.03,1428,Madalena,Açores,0,107,2.76,,False,19,0.49,6,3881,65.1,ÂNGELA MARIA DA SILVA OLIVEIRA GARCIA,2021
141,CH,0,1,0,1.03,0,1.07,31,Nordeste,Açores,0,79,2.61,,False,55,1.82,9,3023,63.6,MIGUEL ANTONIO TAVEIRA FRANCO SOUSA ARRUDA,2021
142,PCP-PEV,0,1,0,3.21,0,3.36,97,Nordeste,Açores,0,79,2.61,,False,55,1.82,9,3023,63.6,DUARTE PATRICIO D' ALMEIDA MELO,2021
143,PPD/PSD,1,1,4,69.96,1,73.21,2115,Nordeste,Açores,0,79,2.61,,False,55,1.82,9,3023,63.6,ANTÓNIO MIGUEL BORGES SOARES,2021
144,PS,0,1,1,21.37,0,22.36,646,Nordeste,Açores,0,79,2.61,,False,55,1.82,9,3023,63.6,RAFAEL MELO BRANCO,2021
145,B.E.,0,1,0,2.74,0,2.83,789,Ponta Delgada,Açores,0,659,2.29,,False,298,1.03,24,28834,44.22,VERA LÚCIA PINHEIRO,2021
146,CH,0,1,0,1.92,0,1.99,554,Ponta Delgada,Açores,0,659,2.29,,False,298,1.03,24,28834,44.22,LUÍS FILIPE NUNES FRANCO,2021
